[2017-11-21 07:10] !SAY            performed by ' Danesh_seedingiano': TEST -  Danesh_seedingiano
[2017-11-21 07:10] !SAY            performed by ' Danesh_seedingiano': FFG is guei -  Danesh_seedingiano
[2017-11-21 07:10] !SAY            performed by ' Danesh_seedingiano': and n00b -  Danesh_seedingiano
[2017-11-21 07:11] !RUNNEXT        performed by ' Danesh_seedingiano': 
[2017-11-21 07:16] !STOPSERVER     performed by ' Danesh_seedingiano': TEST
[2017-11-21 23:05] !SWITCH         performed by '|69th| RYAN030' on '|69th| RYAN030': Instantly
[2017-11-21 23:06] !SAYTEAM        performed by '|69th| RYAN030' on 'team 1': halp - |69th| RYAN030
[2017-11-21 23:11] !INIT           performed by '[TZ] FFG': 
[2017-11-21 23:12] !SETNEXT        performed by '[TZ] FFG': Route E-106 - BETA (AAS, Inf)
[2017-11-21 23:12] !RUNNEXT        performed by '[TZ] FFG': 
[2017-11-21 23:15] !WARN           performed by '|69th| RYAN030' on '[TZ] FFG': test
[2017-11-21 23:17] !KICK           performed by '[TZ] FFG' on '|69th| RYAN030': gay cunt
[2017-11-21 23:17] !REPORTP        performed by '=]H[= Eskil_swe' on '[TZ] FFG': admin abuse
[2017-11-21 23:18] !REPORTP        performed by '[TZ] FFG' on '[TZ] FFG': 
[2017-11-21 23:18] !REPORTP        performed by '|69th| chrisweb89' on '|69th| chrisweb89': 
[2017-11-21 23:18] !WARN           performed by '[TZ] FFG' on '|69th| RYAN030': gay cunt
[2017-11-21 23:18] !WARN           performed by '|69th| chrisweb89' on '|69th| chrisweb89': chris
[2017-11-21 23:19] !WARN           performed by '|69th| chrisweb89' on '[TZ] FFG': ffg bad admin
[2017-11-21 23:20] !WARN           performed by '|69th| RYAN030' on '|69th| RYAN030': que?
[2017-11-21 23:21] !FLY            performed by '|69th| chrisweb89' on '|69th| chrisweb89': 10
[2017-11-21 23:22] !BAN            performed by '[TZ] FFG' on '|69th| RYAN030': cuck
[2017-11-21 23:22] !UNBAN          performed by '[TZ] FFG' on 'Player (61561107eaa96618077dd2daa76590e0) banned player': 
[2017-11-21 23:24] !TEMPBAN        performed by '|69th| chrisweb89' on '|69th| RYAN030': test
[2017-11-21 23:24] !UNBAN          performed by '|69th| chrisweb89' on 'Player (61561107eaa96618077dd2daa76590e0) banned player': 
[2017-11-21 23:25] !MESSAGE        performed by '|69th| chrisweb89' on '[TZ] FFG': sucks - |69th| chrisweb89
[2017-11-21 23:25] !MESSAGE        performed by '|69th| chrisweb89' on '[TZ] FFG': sucks - |69th| chrisweb89
[2017-11-21 23:26] !MESSAGE        performed by '[TZ] FFG' on '|69th| chrisweb89': xd - [TZ] FFG
[2017-11-21 23:26] !MESSAGE        performed by '|69th| chrisweb89' on '[TZ] FFG': hi - |69th| chrisweb89
[2017-11-21 23:26] !MESSAGE        performed by '[TZ] FFG' on '|69th| chrisweb89': hello - [TZ] FFG
[2017-11-21 23:26] !MESSAGE        performed by '|69th| RYAN030' on '|69th| chrisweb89': test - |69th| RYAN030
[2017-11-21 23:27] !REPORT         performed by '|69th| RYAN030': ahhhh
[2017-11-21 23:27] !WARN           performed by '|69th| RYAN030' on ' [OD-S]Mectus': stop trying to break server
[2017-11-21 23:27] !INIT           performed by '[TZ] FFG': 
[2017-11-21 23:28] !WARN           performed by ' [OD-S]Mectus' on '|69th| RYAN030': it's called testing
[2017-11-21 23:28] !REPORT         performed by '|69th| RYAN030': rip
[2017-11-21 23:28] !REPORT         performed by ' [OD-S]Mectus': hah
[2017-11-21 23:28] !REPORT         performed by '|69th| RYAN030': bye
[2017-11-21 23:28] !TIMEBAN        performed by '[TZ] FFG' on '|69th| RYAN030': cuck
[2017-11-21 23:28] !UNBAN          performed by '|69th| chrisweb89' on 'Player (61561107eaa96618077dd2daa76590e0) banned player': 
[2017-11-21 23:31] !RESIGN         performed by '|69th| RYAN030' on ' [OD-S]Mectus': lul
[2017-11-21 23:33] !KILL           performed by '|69th| RYAN030' on ' [OD-S]Mectus': test
[2017-11-21 23:33] !KILL           performed by ' [OD-S]Mectus' on '|69th| RYAN030': hi
[2017-11-21 23:34] !INIT           performed by '[TZ] FFG': 
[2017-11-21 23:38] !RESIGN         performed by '[TZ] FFG' on '|69th| chrisweb89': autism
[2017-11-21 23:38] !RESIGN         performed by '[TZ] FFG' on ' BRADREY': autism
[2017-11-21 23:38] !RESIGN         performed by '[TZ] FFG' on '=]H[= Eskil_swe': autism
[2017-11-21 23:38] !RESIGN         performed by '|69th| RYAN030' on '|69th| RYAN030': fuck
[2017-11-21 23:38] !RESIGN         performed by '|69th| RYAN030' on ' [OD-S]Mectus': fuck
[2017-11-21 23:38] !RESIGN         performed by '|69th| RYAN030' on '[TZ] FFG': fuck
[2017-11-21 23:39] !RESIGN         performed by '|69th| RYAN030' on '[TZ] FFG': test
[2017-11-21 23:40] !HASH           performed by '|69th| RYAN030' on ' [OD-S]Mectus': 
[2017-11-21 23:40] !HASH           performed by ' [OD-S]Mectus' on '|69th| RYAN030': 
[2017-11-21 23:41] !KICK           performed by '|69th| RYAN030' on '|69th| chrisweb89': revenge
[2017-11-21 23:42] !INIT           performed by '[TZ] FFG': 
[2017-11-21 23:42] !INIT           performed by '[TZ] FFG': 
[2017-11-21 23:43] !INIT           performed by '[TZ] FFG': 
[2017-11-21 23:43] !RESIGNALL      performed by '|69th| RYAN030': test
[2017-11-21 23:44] !RESIGNALL      performed by '|69th| chrisweb89': them 
[2017-11-21 23:45] !RESIGNALL      performed by '|69th| RYAN030': them 
[2017-11-21 23:46] !SAYTEAM        performed by '|69th| RYAN030' on 'team 2': aids - |69th| RYAN030
[2017-11-21 23:46] !SAYTEAM        performed by '|69th| RYAN030' on 'team 1': aids - |69th| RYAN030
[2017-11-21 23:49] !SAY            performed by '[TZ] Cleavetester': fuck u ffg - [TZ] Cleavetester
[2017-11-21 23:50] !SAY            performed by ' [OD-S]Mectus': military nigger cuck -  [OD-S]Mectus
[2017-11-22 22:14] !SETNEXT        performed by ' [PR]RPX|Bullseye2550': Asad Khal (AAS, Std)
[2017-11-22 22:17] !WARN           performed by ' [PR]RPX|Bullseye2550' on ' [PR]RPX|Bullseye2550': test
[2017-11-22 22:18] !RESIGN         performed by ' [PR]RPX|Bullseye2550' on ' [PR]RPX|Bullseye2550': test
[2017-11-23 07:38] !FLY            performed by '[TZ] FFG' on '[TZ] FFG': 10
[2017-11-23 07:51] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': On next death
[2017-11-23 07:51] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': On next death
[2017-11-23 07:51] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 07:52] !SWITCH         performed by '|69th| chrisweb89' on '|69th| chrisweb.89': Instantly
[2017-11-23 07:53] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
[2017-11-23 07:53] !SWITCH         performed by '|69th| chrisweb89' on '[TZ] FFG': Instantly
